year,Atlanta,Baltimore,Boston,Chicago,Dallas,Denver,Detroit,Houston,LosAngeles,Miami,Minneapolis,NewYork,Philadelphia,Phoenix,SanDiego,SanFrancisco,Seattle,StLouis,Tampa,WashingtonDC
1915,,,,,,,,,,,,,,,,,,,,
1916,,,False,False,,,False,False,,,,False,False,,,False,False,,,
1917,,,False,False,,,False,False,,,,False,False,,,False,False,,,
1918,False,,False,False,,,False,False,,,,False,False,,,False,False,,,
1919,False,,False,False,,,False,False,,,,False,False,,,False,False,,,
1920,False,,False,False,,,True,False,,,,False,False,,,True,True,,,
1921,False,,False,False,,,False,False,,,,False,False,,,False,False,,,
1922,False,,False,False,,,False,False,,,,False,False,,,False,False,,,
1923,False,,False,False,,,False,False,,,,False,False,,,False,False,,,
1924,False,,False,False,,,False,False,,,,False,False,,,False,False,,,
1925,True,,True,True,,,True,True,,,,True,True,,,True,True,,,
1926,True,,True,True,,,True,True,,,,True,True,,,True,True,,,
1927,False,,False,False,,,False,False,,,,False,False,,,False,False,,,
1928,False,,False,False,,,False,False,,,,False,False,,,False,False,,,
1929,False,,False,False,,,False,False,,,,False,False,,,False,False,,,
1930,False,,False,False,,,False,False,,,,False,False,,,False,False,,,
1931,False,,False,False,,,False,False,,,,False,False,,,False,False,,,
1932,False,,False,False,,,False,False,,,,False,False,,,False,False,,,
1933,False,,False,False,,,False,False,,,,False,False,,,False,False,,,
1934,True,,True,True,,,True,True,,,,True,True,,,True,True,,,
1935,True,,True,True,,,True,True,,,,True,True,,,True,True,,,
1936,True,,True,True,,,True,True,,,,True,True,,,True,True,,,
1937,True,,True,True,,,True,True,,,,True,True,,,True,True,,,
1938,False,,False,False,,,False,False,,,,False,False,,,False,False,,,
1939,False,,False,False,,,False,False,,,,False,False,,,False,False,,,
1940,False,,True,False,,,False,False,,,,False,False,,,True,False,,,
1941,True,,True,True,,,False,False,,,,True,True,,,True,True,,,
1942,True,,True,True,,,True,True,,,,True,True,,,True,True,,,
1943,True,,True,True,,,True,True,,,,True,True,,,True,True,,,
1944,True,,False,True,,,True,True,,,,True,True,,,True,True,,,
1945,False,,False,False,,,False,False,,,,False,False,,,False,False,,,
1946,False,,False,False,,,False,False,,,,True,False,,,False,False,,,
1947,True,,True,True,,,True,True,,,,True,True,,,True,True,,,
1948,True,,True,True,,,True,True,,,,True,True,,,True,True,,,
1949,False,,False,False,,,False,False,,,,False,False,,,False,False,,,
1950,False,,False,False,,,False,False,,,,False,False,,,False,False,,,
1951,False,,False,False,,,False,False,,,,False,False,,,False,False,,,
1952,False,,False,False,,,False,False,,,,False,False,,,False,False,,,
1953,True,,True,True,,,True,True,,,,True,True,,,True,True,,,
1954,False,,False,True,,,False,False,,,,True,True,,,False,False,,,
1955,False,,False,False,,,False,False,,,,False,False,,,False,False,,,
1956,False,,True,False,,,False,True,,,,False,False,,,False,False,,,
1957,True,,True,True,,,True,True,,,,True,True,,,True,True,,,
1958,True,,True,True,,,True,True,,,,True,True,,,True,True,,,
1959,True,,True,True,,,True,True,,,,True,True,,,True,True,,,
1960,False,,False,False,,,False,False,,,,True,True,,,False,False,,,
1961,False,,False,False,,,False,False,,,,False,False,,,False,False,,,
1962,False,,False,False,,,False,True,,,,False,False,,,False,False,,,
1963,True,,True,True,,,True,True,,,,True,True,,,False,False,,,
1964,True,,False,False,False,,True,True,,,,False,False,,,False,True,,,
1965,True,,True,True,False,,True,True,,,,True,True,,,True,False,,,
1966,True,,True,True,False,,True,True,,,,True,True,,,True,True,,,
1967,True,,True,True,False,,True,True,,,,True,True,,,True,True,,,
1968,True,,True,True,True,,True,True,,,,True,True,,,True,True,,,
1969,True,,True,True,True,,True,True,,,,True,True,,,True,True,,,
1970,True,,True,True,True,,True,True,,,,True,True,,,True,True,,,
1971,True,,True,True,True,,True,True,,,,True,True,,,True,False,,,
1972,False,,False,False,False,,False,False,,,,True,False,,,False,False,,,
1973,True,,True,True,False,,True,False,,,,True,True,,,True,True,,,
1974,True,,True,True,True,,True,True,,,,True,True,,,True,True,,,
1975,True,,True,True,True,,True,True,,,,True,True,,,True,True,,,
1976,True,,True,True,True,,True,True,,,,True,True,,,True,True,,,
1977,False,,False,True,True,,True,True,,,,False,False,,,True,True,,,
1978,False,,False,False,False,,False,False,,False,,False,False,,,False,False,,,
1979,True,,True,True,True,,True,True,,False,,True,True,,,False,True,,,
1980,True,,True,True,True,,True,True,,False,,True,True,,,True,True,,,
1981,True,,True,True,True,,True,True,,False,,True,True,,,True,True,,,
1982,False,,False,False,False,,False,False,,True,,True,False,,,False,False,,,
1983,False,,False,False,False,,False,False,,False,,False,False,,,False,False,,,
1984,False,,False,False,False,,False,False,,False,,False,False,,,False,False,,,
1985,False,,False,False,False,False,False,False,,False,False,False,False,,False,False,False,False,,
1986,False,,False,False,False,False,False,False,,False,False,False,False,,False,False,False,False,,
1987,False,,False,True,False,False,True,True,,True,False,True,True,,False,True,False,False,,
1988,False,,True,True,False,False,True,True,,True,False,False,True,,False,False,False,False,,
1989,False,,True,True,False,False,True,True,,True,True,True,True,,True,True,False,True,,
1990,False,,True,True,True,True,True,True,,True,True,True,True,,True,True,False,True,,
1991,False,,True,False,True,True,True,True,,True,False,False,False,,True,True,False,False,,
1992,False,,False,False,False,True,False,True,,False,False,False,False,,False,False,False,False,,
1993,False,,False,False,False,True,False,False,,False,False,False,False,,False,False,False,False,,
1994,False,,False,False,False,True,False,False,,False,False,False,False,,False,False,False,False,,
1995,False,,False,False,False,True,False,False,,True,False,False,False,,False,False,False,False,,
1996,False,,True,False,True,False,True,False,,True,False,False,False,,False,False,False,True,,
1997,True,,False,False,False,False,False,False,,False,False,False,False,,False,True,True,True,,
1998,True,,True,False,False,False,False,False,,False,False,False,False,,False,True,True,False,False,
1999,True,,True,False,True,False,False,False,,False,True,False,False,,True,True,True,False,False,
2000,True,,True,True,True,True,True,True,,True,True,True,True,,True,True,True,True,False,
2001,False,False,True,False,True,True,True,True,False,False,True,True,True,,True,True,False,True,False,False
2002,False,False,True,False,True,False,True,False,False,True,False,True,True,,True,False,True,False,True,False
2003,False,False,True,False,False,False,False,True,False,True,False,True,False,False,True,False,False,True,True,False
2004,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False
2005,False,True,False,True,False,False,True,True,True,True,False,True,True,False,False,False,False,True,True,True
2006,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True,True,True,True
2007,True,True,False,True,False,True,False,False,True,True,True,False,True,True,False,True,True,False,True,True
2008,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,False,True,True
2009,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2010,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
2011,False,False,True,False,True,True,True,True,False,False,True,True,True,False,True,False,False,True,False,True
2012,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2013,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2014,True,True,False,True,True,True,True,True,True,True,False,False,False,True,True,True,True,False,True,False
2015,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,False
2017,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
2018,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True
2019,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2020,False,False,False,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,True,False
2021,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True
